type,subtype,name,has_adfree,homepage,signup,lat,lon,area,image
podcast,astronomy,Astronomy Cast,yes,https://www.astronomycast.com/,https://www.patreon.com/astronomycast,,,,
podcast,astronomy,Universe Today,yes,https://www.universetoday.com/,https://www.patreon.com/universetoday,,,,
podcast,economics,Freakonomics,yes,https://freakonomics.com,https://freakonomics.com/plus,,,,
podcast,"cosmology, physics, philosophy",Mindscape,yes,https://www.preposterousuniverse.com/podcast/,https://www.patreon.com/seanmcarroll,,,,
platform,podcast,Amazon Music,yes,https://www.amazon.com/music/lp/podcasts,,,,,
platform,movies & TV,Amazon Prime Video,yes,https://www.amazon.com/amazonprime,,,,,
platform,movies & TV,Netflix,yes,https://www.netflix.com/,,,,,
services,weather,Weather Underground,yes,https://www.wunderground.com/,https://www.wunderground.com/subscribe,,,,
news,,Akron News Reporter,no,https://www.akronnewsreporter.com/,,40.1605,-103.2144,west,
news,,Broomfield Enterprise,no,https://www.broomfieldenterprise.com/,,39.9205,-105.0867,west,
news,,Buff Zone,no,https://www.buffzone.com/,,40.0076,-105.2659,west,
news,,Chicago Tribune,no,https://www.chicagotribune.com/,,41.8939378,-87.6407368,midwest,https://medianewsgroup.com/wp-content/uploads/2022/09/Chicago-Tribune.png
news,,Daily Press,no,https://www.dailypress.com/,,37.0862179,-76.4734539,east,https://medianewsgroup.com/wp-content/uploads/2022/09/DailyPress.png
news,,Fort Bragg Advocate-News,no,https://www.advocate-news.com/,,39.4457,-123.8053,west,
news,,Julesburg Advocate,no,https://www.julesburgadvocate.com/,,40.9883,-102.2644,west,
news,,Lamar Ledger,no,https://www.lamarledger.com/,,38.0872,102.6207,west,
news,,Nashoba Valley Voice,no,https://www.nashobavalleyvoice.com/,,42.5373,-71.5128,east,
news,,NY Daily News,no,https://www.nydailynews.com/,,40.7128,-74.006,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Screen-Shot-2022-09-28-at-4.11.16-PM.png
news,,Orlando Sentinel,no,https://www.orlandosentinel.com/,,28.5523503,-81.3805284,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Screen-Shot-2022-09-28-at-4.24.57-PM.png
news,,Paradise Post,no,https://www.paradisepost.com/,,39.7596,-121.6219,west,
news,,South Florida Sun Sentinel,no,https://www.sun-sentinel.com/,,26.3142911,-80.123941,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Screen-Shot-2022-09-28-at-4.24.03-PM.png
news,,South Platte Sentinel,no,https://www.southplattesentinel.com/,,40.6253796,-103.2098917,west,
news,,The Baltimore Sun,no,https://www.baltimoresun.com/,,39.2656647,-76.6112737,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Baltimore-Sun.png
news,,The Burlington Record,no,https://www.burlington-record.com/,,39.3061,-102.2694,west,
news,,The Capital Gazette,no,https://www.capitalgazette.com/,,38.9941667,-76.5457998,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Capital-Gazette.png
news,,The Hartford Courant,no,https://www.courant.com/,,41.7357357,-72.6961388,east,https://medianewsgroup.com/wp-content/uploads/2022/09/HartfordCourant.png
news,,The Lehigh Morning Call,no,https://www.mcall.com/,,40.6023,-75.4735887,east,https://medianewsgroup.com/wp-content/uploads/2022/09/MorningCall.png
news,,The Mendocino Beacon,no,https://www.mendocinobeacon.com/,,39.3077,-123.7995,west,
news,,The Virginian-Pilot,no,https://www.pilotonline.com/,,,,,https://medianewsgroup.com/wp-content/uploads/2022/09/virginian_pilot.png
news,,The Voice,no,https://www.voicenews.com/,,42.5803,-83.032394,midwest,
news,,The Willits News,no,https://www.willitsnews.com/,,39.409608,-123.355566,west,
